,Subgenres,under_KNN,under_Linear_SVM,under_Logistic_Regression,under_Decisiton_Tree,under_Random_Forest,under_Gradient_Boost,over_KNN,over_Linear_SVM,over_Logistic_Regression,over_Decisiton_Tree,over_Random_Forest,over_Gradient_Boost
permanent wave,permanent wave,0.578943533697632,0.6008925318761384,0.6227686703096539,0.6305464480874317,0.6413479052823315,0.6348998178506375,0.7642376028718184,0.6421440300929904,0.64769385728743,0.8196294227721449,0.9018724580397548,0.9321394474040977
hard rock,hard rock,0.5086580086580087,0.549062049062049,0.6098124098124098,0.5976911976911976,0.6069264069264069,0.6463203463203462,0.934557021016165,0.660056035620238,0.6578907473849108,0.9097158353967693,0.9749044643208068,0.9898731618575978
tropical,tropical,0.569047619047619,0.6153968253968254,0.6446031746031745,0.6541269841269841,0.7006349206349205,0.6979365079365079,0.9216971094032562,0.6771905338621982,0.6694936315625971,0.9310981146063606,0.9674928301614958,0.9879981930956443
latin pop,latin pop,0.6216427640156453,0.6898305084745763,0.6858081027572552,0.6631078275146073,0.7057124921531701,0.6948524795982423,0.7238272085034675,0.692150711862942,0.6928735930174779,0.8250776675956532,0.8752135588826236,0.8783375461792728
reggaeton,reggaeton,0.6018711574445337,0.6659271139623987,0.6520627283257595,0.6736790519468948,0.7052659716653301,0.7053818052214202,0.7207360684926318,0.6802295715422206,0.6773860665984771,0.8085903701178164,0.8714812289275298,0.8771860438686214
latin hip hop,latin hip hop,0.6076724753828472,0.665160127978132,0.6669835057310596,0.6661044326406362,0.6925387506600813,0.6806914546640573,0.73027312317447,0.6763625822599248,0.6807040187091152,0.7784831692731219,0.8428858417937413,0.8733673343065407
urban contemporary,urban contemporary,0.6360120058896818,0.653233661796353,0.6501755578208177,0.6433910975195379,0.6796183033186092,0.6698097179748557,0.7301191172646906,0.6596467108684347,0.6621444357774311,0.7995386440457619,0.8874934997399897,0.8964472828913157
hip pop,hip pop,0.574780014914243,0.6281252796420582,0.632125279642058,0.63034451901566,0.6512393736017896,0.6361043997017152,0.6788461538461539,0.67,0.6703846153846154,0.7628205128205129,0.8275641025641025,0.8324358974358976
new jack swing,new jack swing,,0.42222222222222217,0.5333333333333332,0.5444444444444445,0.7777777777777778,0.711111111111111,0.9877083758027874,0.8652496101992805,0.8561693195153799,0.9920278636349444,0.9993357318244509,0.9993359154761446
neo soul,neo soul,0.6069264069264069,0.6337662337662338,0.643145743145743,0.6616161616161615,0.7072150072150072,0.6978354978354979,0.9382024093904068,0.683969885378336,0.6791933084339697,0.9192501135550737,0.9764254150047169,0.9925593382727491
electro house,electro house,0.608080808080808,0.6247474747474747,0.6666666666666666,0.7732323232323232,0.75,0.7555555555555555,0.9571267736535546,0.7717051893393322,0.7800137298079411,0.9481428322481504,0.9722222750291758,0.9951330999265984
big room,big room,0.6344322344322344,0.7322344322344322,0.7153846153846153,0.7963369963369964,0.8655677655677657,0.8611721611721613,0.9463317098611215,0.8121198509433804,0.8138129726365021,0.957550155197214,0.9839108015578605,0.9930131812484755
pop edm,pop edm,0.6221445945246596,0.6685245562283288,0.6526833307457435,0.6344097707395332,0.6614500853904673,0.6567768979972053,0.7296650955097991,0.6894148129772044,0.6918097246340859,0.8184292565947242,0.8919598114611759,0.9035610132583589
progressive electro house,progressive electro house,0.7101851851851851,0.7101851851851851,0.7490740740740741,0.7287037037037037,0.861111111111111,0.8064814814814815,0.9776880768440428,0.8074407325309071,0.8118303216845997,0.9726688323139052,0.9876590898160658,0.9979779762711519
