,genres,under_KNN,under_Linear_SVM,under_Logistic_Regression,under_Decisiton_Tree,under_Random_Forest,under_Gradient_Boost,over_KNN,over_Linear_SVM,over_Logistic_Regression,over_Decisiton_Tree,over_Random_Forest,over_Gradient_Boost
0,pop,0.5964303670186022,0.6448076666564061,0.6457088818433355,0.6336182336182337,0.6653611872099268,0.6580994791078825,0.7697916666666667,0.652724358974359,0.6530448717948718,0.7683226495726496,0.8499198717948717,0.880528846153846
1,rap,0.6326104374766304,0.6826825490091342,0.6730160425903176,0.6443530438188843,0.6840624610508698,0.6726741805103005,0.8736059567920101,0.6802300289741458,0.6807639274957497,0.8157718930411274,0.8973344610579266,0.9496413968390722
2,rock,0.5761956587459943,0.6035038394098796,0.6106505834693754,0.6173771086522765,0.6308241127033074,0.621845335268154,0.8968054928185556,0.62240346681977,0.6233399467617935,0.7748009366625147,0.8840699176210387,0.960991318344757
3,latin,0.5794429469901168,0.6669789466015881,0.6516675165731769,0.6487841480294311,0.6819290449479128,0.6761603652169691,0.8043857374812051,0.6809526870857633,0.6790193959046418,0.8103262322162997,0.8726155918441357,0.9106409020102365
4,r&b,0.6415340534128595,0.7066636593739819,0.7014660551838208,0.6891988071072351,0.7314262085557477,0.7257582972040533,0.8312056729282002,0.7153105541290858,0.7148514192422424,0.8451060765464264,0.9040487633048929,0.9226928059562896
5,edm,0.704646972944429,0.7673531513061845,0.7718820861678004,0.7437175783555431,0.7837542322865219,0.7692013791818096,0.9202909036506858,0.7676167854147817,0.7693718824129527,0.9209193198865304,0.9450396618281337,0.9670369207393135
